water_year,month,day,calendar_year,hour,sme2_ta_C,smf1_ta_C,smg1_ta_C,smg2_ta_C,smm1_ta_C,smm2_ta_C
2009,2,15,2009,10,-3.7,-2.1,-1.7,-3.0,-2.7,-4.8
2009,6,11,2009,16,11.0,11.9,12.7,11.3,12.1,9.8
2012,1,23,2012,8,-3.0,-2.6,-2.3,-2.5,-2.9,-2.6
2008,6,5,2008,2,2.6,1.1,2.6,3.3,1.9,3.1
2012,6,2,2012,4,15.7,9.5,9.5,14.0,8.3,15.4
2008,4,8,2008,9,0.2,1.4,2.6,0.9,1.8,0.5
2009,9,15,2009,23,15.8,12.7,16.4,16.4,12.3,15.7
2010,2,20,2010,5,-6.9,-8.5,-8.5,-6.9,-9.0,-8.0
2008,9,5,2008,1,11.2,5.6,4.8,11.7,3.5,10.7
2013,8,18,2013,13,28.4,31.1,31.1,29.2,30.9,29.2
2010,12,5,2009,1,-7.6,-6.0,-5.4,-6.9,-5.9,-8.4
2013,12,10,2012,1,-2.4,-1.9,-1.6,-2.6,-1.2,-1.8
2008,11,8,2007,2,8.9,0.1,0.3,8.1,-0.5,10.1
2013,7,9,2013,0,18.6,14.4,13.6,18.9,15.7,19.8
2010,7,9,2010,19,25.5,25.2,27.2,26.1,27.0,24.7
2011,10,13,2010,11,16.3,17.6,17.6,16.0,17.6,16.0
2008,4,19,2008,2,2.0,-0.1,-0.7,2.2,-0.6,2.3
2009,10,23,2008,14,15.6,18.2,17.6,16.2,16.0,14.3
2009,10,25,2008,18,10.3,11.1,12.0,11.6,10.4,9.7
2009,8,28,2009,23,20.6,21.0,21.4,21.2,20.3,19.4
2010,2,22,2010,1,-9.3,-16.1,-15.4,-11.2,-15.6,-9.5
2012,12,18,2011,8,-1.0,-7.1,-7.3,-1.3,-7.5,-0.6
2011,12,6,2010,20,0.7,0.1,0.3,1.4,0.3,1.2
2011,8,6,2011,8,22.8,18.9,22.2,22.8,20.1,22.5
2008,3,16,2008,13,-2.2,0.1,1.2,-1.2,-0.5,-2.1
2010,8,29,2010,4,3.3,4.7,4.9,4.1,4.6,3.6
2012,10,9,2011,11,9.8,12.2,12.3,10.8,11.9,10.3
2013,8,17,2013,8,19.1,16.2,19.1,19.1,16.7,20.1
2010,7,22,2010,8,16.3,16.7,18.7,17.2,17.8,15.4
2013,1,19,2013,2,1.4,-9.4,-9.5,0.7,-8.0,2.0
2011,9,10,2011,16,24.6,25.5,26.6,25.3,25.9,25.2
2010,11,17,2009,11,9.4,11.6,12.1,10.1,12.2,8.7
2013,10,14,2012,9,11.1,8.9,12.9,11.7,10.2,12.1
2012,3,24,2012,14,14.1,16.4,16.7,14.9,16.1,14.6
2010,8,1,2010,17,25.7,26.6,27.8,26.4,27.4,24.6
2013,12,1,2012,14,5.7,7.3,8.0,6.4,7.9,6.9
2009,3,24,2009,21,0.4,1.5,1.6,1.2,1.0,-0.5
2011,5,13,2011,19,14.2,14.4,15.1,15.5,12.5,14.8
2009,2,2,2009,2,-2.5,-8.3,-8.3,-2.9,-8.8,-2.3
2008,12,12,2007,8,-7.2,-8.3,-8.7,-6.9,-8.8,-6.7
2010,7,30,2010,12,26.8,29.0,28.7,27.5,29.1,26.0
2010,4,2,2010,22,-4.9,-3.7,-3.3,-4.5,-3.5,-5.8
2012,2,15,2012,13,1.1,2.2,1.9,1.1,2.4,1.5
2008,8,22,2008,12,21.0,23.1,22.9,21.0,22.8,21.6
2009,6,18,2009,21,14.5,10.2,9.9,13.1,8.6,13.7
2012,1,29,2012,5,-0.2,-2.5,-1.1,-0.0,-4.0,0.5
2008,9,21,2008,21,7.2,6.2,6.8,7.9,4.4,6.3
2013,10,20,2012,6,6.1,7.4,7.9,6.7,7.9,7.0
2008,5,12,2008,19,5.8,6.3,7.1,6.6,7.4,6.6
2012,8,11,2012,10,23.2,25.3,25.6,24.2,25.7,24.5
2009,12,19,2008,9,-10.3,-8.8,-8.7,-9.4,-9.6,-11.2
2012,4,16,2012,18,8.9,10.1,11.0,9.9,10.7,9.4
2011,5,16,2011,15,3.3,4.1,5.0,4.0,5.1,3.4
2011,12,8,2010,14,4.0,5.2,6.3,5.0,6.2,4.6
2011,2,16,2011,4,0.8,1.6,1.8,1.9,2.4,1.5
2010,11,28,2009,19,-1.5,-1.6,-5.2,-0.8,-2.5,-2.1
2013,4,8,2013,17,1.4,3.0,4.1,2.2,4.1,2.8
2009,1,10,2009,16,1.4,1.3,2.8,2.4,1.2,0.6
2008,8,2,2008,16,25.3,27.5,27.7,26.1,27.4,25.7
2009,2,8,2009,11,2.9,3.9,4.3,2.8,3.2,1.1
2011,7,11,2011,0,17.1,16.9,17.7,18.0,19.0,18.2
2012,7,27,2012,9,21.9,22.3,23.1,22.3,23.4,21.7
2012,3,22,2012,1,7.3,5.4,7.9,8.1,6.5,7.7
2012,5,31,2012,10,17.5,19.9,19.7,18.4,19.5,17.7
2012,9,28,2012,0,14.8,15.0,17.4,15.4,9.8,16.3
2011,5,18,2011,4,0.2,-0.0,0.2,0.7,-0.1,0.3
2009,8,18,2009,7,13.2,6.3,7.5,13.7,4.9,12.5
2010,8,4,2010,9,24.0,25.7,26.1,25.0,26.2,23.4
2009,6,28,2009,22,19.8,18.0,21.0,20.7,19.5,20.5
2009,3,10,2009,3,-9.9,-9.0,-9.5,-9.4,-9.6,-10.9
2012,8,6,2012,11,26.2,28.5,28.5,27.1,28.5,26.5
2011,6,25,2011,5,9.7,3.2,3.2,9.4,2.2,10.3
